mls,address,bld_sft,lot_sft,price,zip
81597775,"1312 Live Oak Street #113, Houston, TX 77003",1241.0,62936.0,249900.0,77003
70191885,"1413 Hussion Street, Houston, TX 77003",1098.0,5000.0,249500.0,77003
83747548,"205 Everton Street, Houston, TX 77003",1127.0,5000.0,219900.0,77003
35524037,"1418 Miller Street, Houston, TX 77003",0.0,0,219900.0,77003
41908285,"2205 Mckinney Street #514, Houston, TX 77003",1049.0,0,215000.0,77003
95347079,"2205 Mckinney Street #412, Houston, TX 77003",894.0,0,199000.0,77003
26643468,"2205 Mckinney Street #414, Houston, TX 77003",1049.0,0,189000.0,77003
32812645,"2205 Mckinney Street #303, Houston, TX 77003",789.0,0,183900.0,77003
87164582,"2205 McKinney Street #307, Houston, TX 77003",836.0,0,179900.0,77003
81744310,"0 Bell Street Street, Houston, TX 77003",0.0,0,175000.0,77003
35757827,"2205 Mckinney Street #405, Houston, TX 77003",694.0,0,172500.0,77003
33808411,"1415 Milby Street, Houston, TX 77003",0.0,0,139880.0,77003
51689353,"0 Bell St Street, Houston, TX 77003",0.0,0,130000.0,77003
11977274,"0 Bell Street, Houston, TX 77003",0.0,0,130000.0,77003
56468195,"2612 Riverside Drive, Houston, TX 77004",0.0,0,2100000.0,77004
79077350,"4811 Jackson Street, Houston, TX 77004",4417.0,6250.0,1850000.0,77004
55572114,"1622 Rosedale Street, Houston, TX 77004",4122.0,4500.0,1699900.0,77004
82889382,"5104 Caroline Street #703, Houston, TX 77004",2913.0,0,1675000.0,77004
11618428,"1701 Hermann Drive 27D/27F, Houston, TX 77004",2749.0,0,1575000.0,77004
10774949,"5107 Delano Street, Houston, TX 77004",6305.0,5000.0,1525000.0,77004
33463722,"1905 Binz Street 1-10, Houston, TX 77004",6656.0,12750.0,1500000.0,77004
46357713,"5104 Caroline Street #603, Houston, TX 77004",2948.0,0,1495000.0,77004
44740613,"2512 Calumet Street #6, Houston, TX 77004",6097.0,11128.0,1450000.0,77004
79351046,"1111 Hermann Drive 14B, Houston, TX 77004",3085.0,0,1450000.0,77004
17771229,"5319 Jackson Street, Houston, TX 77004",3710.0,7000.0,1400000.0,77004
91218008,"2509 Alabama Street, Houston, TX 77004",0.0,0,1400000.0,77004
21295861,"5104 Caroline Street #402, Houston, TX 77004",2675.0,0,1275000.0,77004
5704018,"1701 Hermann Drive 32N, Houston, TX 77004",2321.0,0,1199000.0,77004
8675476,"4381 N Macgregor Way, Houston, TX 77004",3518.0,42878.0,1100000.0,77004
64822943,"1701 Hermann Drive 33L, Houston, TX 77004",2082.0,0,1067500.0,77004
93279291,"3221 N Macgregor Way, Houston, TX 77004",0.0,0,995000.0,77004
64847696,"2601 Emancipation Avenue, Houston, TX 77004",0.0,0,975000.0,77004
91232750,"1701 Hermann Drive 29G, Houston, TX 77004",1623.0,0,969900.0,77004
16252547,"1416 Isabella Street #1, Houston, TX 77004",4590.0,8722.0,950000.0,77004
75478632,"1701 Hermann Drive 21F, Houston, TX 77004",1623.0,0,854900.0,77004
77235588,"3609 Hadley Street, Houston, TX 77004",660.0,16800.0,850000.0,77004
83630404,"1817 Elgin Street, Houston, TX 77004",0.0,0,850000.0,77004
52756433,"2507 Calumet Street, Houston, TX 77004",3750.0,8470.0,850000.0,77004
15578892,"1913 Wentworth Street, Houston, TX 77004",0.0,0,824999.0,77004
95144821,"1908 Binz Street 1-2, Houston, TX 77004",3400.0,7800.0,805000.0,77004
23774564,"2401 & 2407 Sampson Street 1-8, Houston, TX 77004",2448.0,4750.0,799900.0,77004
70565928,"3459 Mcgowen Street, Houston, TX 77004",0.0,0,799000.0,77004
65815793,"2004 Binz Street, Houston, TX 77004",0.0,0,790000.0,77004
47534440,"2201 Ruth Street, Houston, TX 77004",3500.0,5500.0,789999.0,77004
50193598,"1830 Palm Street, Houston, TX 77004",3000.0,2652.0,774900.0,77004
68403496,"1515 Truxillo Street, Houston, TX 77004",2832.0,2376.0,757000.0,77004
81708833,"2516 Riverside Drive, Houston, TX 77004",2840.0,11165.0,700000.0,77004
92788562,"1701 Binz Street, Houston, TX 77004",2510.0,2125.0,700000.0,77004
35338632,"4919 La Branch Street, Houston, TX 77004",3146.0,8500.0,700000.0,77004
36038091,"2604 Scott Street, Houston, TX 77004",0.0,0,700000.0,77004
10341902,"5104 Jackson Street A, Houston, TX 77004",2942.0,1768.0,699900.0,77004
8929032,"1902 Ruth Street, Houston, TX 77004",0.0,0,699000.0,77004
51629880,"1619 Wichita Street, Houston, TX 77004",2591.0,1928.0,680000.0,77004
98526243,"2708 Wichita Street, Houston, TX 77004",3450.0,6300.0,679900.0,77004
11553650,"5010 JACKSON Street, Houston, TX 77004",2500.0,3750.0,679900.0,77004
30044442,"5014 JACKSON Street, Houston, TX 77004",2504.0,3750.0,679900.0,77004
47615034,"1701 Hermann Drive 16B, Houston, TX 77004",1623.0,0,672400.0,77004
13228600,"4375 Harvest Lane, Houston, TX 77004",3305.0,7200.0,665000.0,77004
43217833,"3801 Briley Street #4, Houston, TX 77004",3248.0,3131.0,650000.0,77004
12870525,"3817 Anita Street, Houston, TX 77004",1760.0,14400.0,650000.0,77004
3118662,"5925 Almeda Road #12803, Houston, TX 77004",1787.0,0,650000.0,77004
76542807,"5317 Chenevert Street, Houston, TX 77004",0.0,0,649000.0,77004
3180527,"5925 Almeda Road #12908, Houston, TX 77004",1836.0,0,639990.0,77004
11752495,"3011 Rosedale Street, Houston, TX 77004",3436.0,5250.0,625000.0,77004
24499245,"2407 Southmore Boulevard #3, Houston, TX 77004",1716.0,11849.0,620000.0,77004
43209833,"5005 Chenevert Street, Houston, TX 77004",3004.0,1728.0,614900.0,77004
64677165,"0 Saint Emanuel Street, Houston, TX 77004",0.0,0,599000.0,77004
35514074,"2201 Blodgett Street, Houston, TX 77004",3072.0,5606.0,595000.0,77004
70465419,"1820 Prospect Street, Houston, TX 77004",2923.0,1619.0,575000.0,77004
7891996,"1816 Calumet Street, Houston, TX 77004",0.0,0,575000.0,77004
20730238,"3007 Cleburne Street, Houston, TX 77004",2088.0,5250.0,575000.0,77004
66048480,"1307 Rosedale Street, Houston, TX 77004",3448.0,1750.0,575000.0,77004
44568373,"2115 Mcilhenny Street, Houston, TX 77004",3890.0,2621.0,575000.0,77004
17269330,"1837 Oakdale Street, Houston, TX 77004",3100.0,2225.0,575000.0,77004
33709912,"5925 Almeda Road #12804, Houston, TX 77004",1708.0,0,569900.0,77004
70326735,"4718 Jackson Street, Houston, TX 77004",2282.0,2000.0,560000.0,77004
3785494,"1724 Ruth Street, Houston, TX 77004",0.0,0,555000.0,77004
54850772,"3505 Mosley Court #2, Houston, TX 77004",2951.0,2138.0,555000.0,77004
98720601,"3234 Mcgowen Street #4, Houston, TX 77004",2322.0,2308.0,550000.0,77004
5315397,"3234 Ewing Street, Houston, TX 77004",2237.0,6050.0,550000.0,77004
61629759,"2010 Calumet Street Street, Houston, TX 77004",2815.0,5500.0,550000.0,77004
80513984,"2613 Wichita Street, Houston, TX 77004",2560.0,5250.0,550000.0,77004
87348249,"3522 Sampson Street, Houston, TX 77004",3072.0,4600.0,549500.0,77004
56642003,"1821 Oakdale Street, Houston, TX 77004",2592.0,6250.0,545000.0,77004
76757254,"4818 Austin Street, Houston, TX 77004",2580.0,1656.0,540000.0,77004
7744996,"1505 Truxillo Street E, Houston, TX 77004",2305.0,1509.0,535000.0,77004
94267060,"1829 Oakdale Street, Houston, TX 77004",2962.0,1985.0,534900.0,77004
27033888,"1501 Ruth Street, Houston, TX 77004",1790.0,6200.0,530000.0,77004
56894489,"5925 Almeda Road #12904, Houston, TX 77004",1708.0,0,525000.0,77004
31685555,"3401 Ennis Street #4, Houston, TX 77004",3340.0,5000.0,520000.0,77004
19858516,"1701 Hermann Drive 16D, Houston, TX 77004",1126.0,0,501400.0,77004
10381108,"2601 Wheeler Street, Houston, TX 77004",3416.0,5775.0,500000.0,77004
93217185,"3221 Oakdale Street, Houston, TX 77004",2488.0,6372.0,500000.0,77004
38334808,"2408 & 0 Eagle Street, Houston, TX 77004",1888.0,5775.0,500000.0,77004
82174259,"3021 Prospect Street, Houston, TX 77004",2400.0,5100.0,499999.0,77004
2324774,"5925 Almeda Road #11918, Houston, TX 77004",1469.0,0,499900.0,77004
54343305,"2822 Barbee Street, Houston, TX 77004",2608.0,5775.0,499000.0,77004
53705973,"2021 Rosedale Street, Houston, TX 77004",3311.0,2962.0,499000.0,77004
7031260,"2116 Berry Street, Houston, TX 77004",3288.0,5000.0,499000.0,77004
9535086,"2713 Rosewood Street, Houston, TX 77004",3080.0,5250.0,495690.0,77004
85861116,"3802 Blodgett Street, Houston, TX 77004",2464.0,6600.0,495000.0,77004
69975778,"1701 Hermann Drive 21C, Houston, TX 77004",1212.0,0,493900.0,77004
40771605,"1812 Rosedale Street C, Houston, TX 77004",2571.0,1693.0,489000.0,77004
45824976,"4508 La Branch Street, Houston, TX 77004",1975.0,1881.0,489000.0,77004
93703795,"2611 Isabella Street, Houston, TX 77004",2164.0,5775.0,489000.0,77004
60791388,"1403 Isabella Street, Houston, TX 77004",3061.0,1568.0,485000.0,77004
62424291,"2117 MCILHENNY Street, Houston, TX 77004",2632.0,1584.0,485000.0,77004
